fen,engine_name,score
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_1550,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_1650,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_1750,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_1850,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_1950,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_2100,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_2300,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_2500,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,stockfish_elo_2700,1.0
r1bqnrk1/1pp1bppp/p1n1p3/4P3/2pP4/PPN2N2/2Q2PPP/RBB2RK1 w - - 0 13,player,1.0
3r4/1p3ppk/1bpP4/8/P7/2P3K1/8/RN6 w - - 1 32,dragon,1.0
3r4/1p3ppk/1bpP4/8/P7/2P3K1/8/RN6 w - - 1 32,stockfish_full_test,0.0
3r4/1p3ppk/1bpP4/8/P7/2P3K1/8/RN6 w - - 1 32,stockfish_elo_1350,0.0
3r4/1p3ppk/1bpP4/8/P7/2P3K1/8/RN6 w - - 1 32,stockfish_elo_1450,0.0
3r4/1p3ppk/1bpP4/8/P7/2P3K1/8/RN6 w - - 1 32,stockfish_elo_1550,0.0
3r4/1p3ppk/1bpP4/8/P7/2P3K1/8/RN6 w - - 1 32,stockfish_elo_1650,1.0
3r4/1p3ppk/1bpP4/8/P7/2P3K1/8/RN6 w - - 1 32,stockfish_elo_1750,0.0
3r4/1p3ppk/1bpP4/8/P7/2P3K1/8/RN6 w - - 1 32,stockfish_elo_1850,1.0
